ntdid,agency,acronym,mode,ntd_mode,region,type_of_svc,month,year,vrm
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,1,2016,1956308
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,2,2016,1871922
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,3,2016,2029636
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,4,2016,1924825
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,5,2016,2013954
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,6,2016,2086415
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,7,2016,2046675
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,8,2016,2157437
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,9,2016,2033439
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,10,2016,2072247
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,11,2016,2003253
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,12,2016,2095443
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,1,2017,2131149
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,2,2017,1954619
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,3,2017,2174014
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,4,2017,1984838
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,5,2017,2086529
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,6,2017,2171848
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,7,2017,2002790
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,8,2017,2078495
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,9,2017,1882199
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,10,2017,2059861
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,11,2017,1961392
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,12,2017,2066556
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,1,2018,2136444
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,2,2018,1945003
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,3,2018,2141710
10003,Massachusetts Bay Transportation Authority,MBTA,commuter_rail,CR,"Boston, MA--NH",PT,4,2018,2091694
